Albert Einstein	Wàll:Jëmm;
Bosor	Wàll:Nit ñi ci Kàddug Yàlla;
Bowanerses	Wàll:Baat yi jóge làkku yawut;
Bowas	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Bànni Israyil	Wàll:Leeral Biibël;
Catir	Wàll:Bereb yi ci Téere Linjiil;Wàll:Tirki;
Daawuda	Wàll:Diine;Wàll:Yonenti Lislaam;
Dalmanuta	Wàll:Bereb yi ci Téere Linjiil;
Dalmasi	Wàll:Bereb yi ci Téere Linjiil;Wàll:Tugal;Wàll:Dalmasi;
Damaris	Wàll:Nit ñi ci Kàddug Yàlla;Wàll:Nit ñi ci Téere Linjiil;
Bunt: Xarala	Wàll:Bunt|Xarala;Wàll:Xarala|*;
Xam-xam	Wàll:Xam-xam;
Xam-xami nite ak mboolaay	Wàll:Xam-xam;
Njàngat	Wàll:Njàngat;
Xaralaymbëj	Wàll:Xaralaymbëj|xaralaymbëj;
Mbëj	Wàll:Mbëj;
Wikipedia:Xët wu njëkk	Wàll:Barab Wikipedia|{{PAGENAME}};
Doxalukaay bu mbëj	Wàll:Wuutuloxo yu mbëj;
Xam-xamu suuf si ak jawwu ji	Wàll:Xam-xam;Wàll:Suuf;
Pac	Wàll:Xam-xam;
Royuwaay:Noppi	Wàll:Royuwaay|{{PAGENAME}};
Royuwaay:Diinelislaam	:Wàll:Yonenti Lislaam| Yonenti lislaam;Wàll:Royuwaay diine;
Sëriñ Muusaa KA	Wàll:Niti senegaal;Wàll:Yoonu murit;
Téere Taariix	Wàll:Taariix;
Mamoor Xam Sa Diine	Wàll:Mamoor Xam Sa Diine| ;Wàll:Yoonu murit;
Dalub Archimède	Wàll:Jëmm;
Diisaayu yaram yi	Wàll:Xam-xam;
Simi	Wàll:Simi|Simi;
Sawara	Wàll:Jëmm;Wàll:Simi;
Rab	Wàll:Rab| ;
Gàncax	Wàll:Gàncax| ;
Xeet	Wàll:Simi;
Ngelaw	Wàll:Simi;
Ne-ne	Wàll:Ne-ne| ;Wàll:Jëmm;Wàll:Simi;
Liggéeyiinu mbell	Wàll:Jëmm;Wàll:Xarala;Wàll:Endustri;
Yolaakon	Wàll:Simi;Wàll:Jëmm;
Junj	Wàll:xam-xam;Wàll:Njàngat;
Jum	Wàll:Xarala;
Dooley ñoddi	Wàll:Jëmm;
Kattanug përëg	Wàll:paj;
Kol-kolu suuf si	Wàll:Suuf;
Jawwu ji	Wàll:Xam-xam;Wàll:Melosuuf;
Fatt-jawwu	Wàll:Jëmm;Wàll:Suuf;
Yolom-jawwu	Wàll:Suuf;
Biti-jawwu	Wàll:Suuf;
Ag féex gu joyoo	Wàll:Xam-xamu suuf si ak jawwu ji;
Dalu Archimède	Wàll:Doolerandu;
Ndimbal:Caytu	Jagleel:Catégories|Wàll;Wàll:Ndimbal;
Paj	Wàll:Xam-xam;Wàll:Paj;
Doolerandu	Wàll:Doolerandu;
Jokkoo-cig-soree	Wàll:Xarala;
Kàttan	Wàll:Jëmm;Wàll:Kàttan;
Yoon	Wàll:Yoon| ;
Koom-koom	Wàll:Koom-koom;
Wikipedia	Wàll:Sémbi Wikimedia Fondation;Wàll:Jimbulang;
Mohammed	Wàll:Diine;Wàll:Yonenti Lislaam;Wàll:Lislaam;
Xeltu	Wàll:Xeltu;
Wuutuloxo	Wàll:Doolerandu;Wàll:Xarala;
Yëglu cig sori	Wàll;
Nekk	Wàll:Jëmm;
Berlin	Wàll:Péy;Wàll:Almaañ;
Royuwaay:Diineyyëwut	Wàll:Royuwaay diine;
Royuwaay:Wikibaatukaay	Wàll:Royuwaay;w:{{#if:{{{lang|}}}|{{{lang}}}:}}{{ucfirst:{{{cat|{{{category}}}}}}}}|{{ucfirst:{{{1|{{{cat|{{{category}}}}}}}}}}};w:{{#if:{{{lang|}}}|{{{lang}}}:}}{{ucfirst:{{{mulcat}}}}}|{{ucfirst:{{{mulcatlabel|{{{mulcat}}}}}}}};
Royuwaay:Melosuuf/bunt	Wàll:Royuwaay séwógaraafi;
Royuwaay:Sewogaraafi/suufsi	Wàll:Royuwaay séwógaraafi;
Royuwaay:Ciyoonudefaru	Wàll:Royuwaay;
Melosuuf	Wàll:Melosuuf;
Muriidulaa	Wàll:Yoonu murit;
Royuwaay:Suuf si	Wàll:Royuwaay séwógaraafi;
Téere Irwaun Nadiim ci Sëriñ Tuubaa	Wàll:Yoonu murit;
Téere Tasawudus sixaar	Wàll:Yoonu murit;
Liggéey (ci muridulaa)	Wàll:Yoonu murit;
Royuwaay:Limureewiafrik	Wàll:Royuwaay séwógaraafi mu réew;
Jëmm	Wàll:Xam-xam;Wàll:Jëmm;
Kawaarig	Wàll:Xam-xam;
Royuwaay:Taariix	Wàll:Royuwaay;
Royuwaay:Yagg	Wàll:Royuwaay;
Royuwaay:Diggu	Wàll:Royuwaay;
Royuwaay:Yees	Wàll:Royuwaay;
Bunt: taariix	Wàll:Taariix| ;
Yewwute	Wàll:Taariix;
Jolof	Wàll:Taariixu senegaal;Wàll:Nguuri senegaal;
Royuwaay:Buntutaariix	Wàll:Royuwaay;
Alburi Njaay	Wàll:niti senegaal;
Waalo	Wàll:Taariixu senegaal;Wàll:Afrig;Wàll:senegaal;Wàll:nguuri senegaal;
Kajoor	Wàll:Taariixu senegaal;Wàll:Afrig;Wàll:senegaal;Wàll:nguuri senegaal;
Royuwaay:Xët wu njëkk/ubbite	Wàll:Xët wu njëkk|U;
Leeral Biibël	:Wàll:Nit ñi ci Kàddug Yàlla;:Wàll:Nit ñi ci Téere Tawreet;:Wàll:Nit ñi ci Téere Linjiil;:Wàll:Bereb yi ci Téere Linjiil;:Wàll:Baat yi jóge làkku ibrë;:Wàll:Baat yi jóge làkku yawut;:Wàll:Baat yi jóge làkku gereg;:Wàll:Per yi ak Xeer yi ci Kàddug Yàlla;:Wàll:Mala yi ci Kàddug Yàlla;:Wàll:Gàncax yi ak garab yi ci Kàddug Yàlla;:Wàll:Xeet yi;:Wàll:Yàllay xeet yi;:Wàll:Njàngalem Mbooloom Kirist yi am solo;Wàll:Leeral Biibël|*;
Ndimbal:Dalal-jàmm	Wàll:Jeego yu njëkk;
Royuwaay:Yëgle	Wàll:Royuwaay;
Royuwaay:Luyxew	Wàll:Royuwaay;
Royuwaay:Gan ñi	Wàll:Xët wu njëkk;
Royuwaay:Buntaskan	Wàll:Royuwaay;
Royuwaay:Diwaaniafrik	Wàll:Royuwaay séwógaraafi;
Diggu Afrig	Wàll:Diwaani Afrig;
Imbraatóor gu Mali	Wàll:Taariixu Afrig;Wàll:Nguuri Afrig;
Siin-Saalum	Wàll:Taariixu senegaal;Wàll:Afrig;Wàll:nguuri senegaal;Wàll:Cosaan Séeréer;Wàll:Taariixu Gàmbi;
Royuwaay:Yeneenlàkk	Wàll:Xët wu njëkk|Y;
Royuwaay:Xët wu njëkk/limuwaay ndeyjoor	Wàll:Xët wu njëkk|L;
Sowwu Afrig	Wàll:Melosuuf;Wàll:Afrig;Wàll:Diwaani Afrig;
Bëj-gànnaaru Afrig	Wàll:Diwaani Afrig;
Bëj-saalumu Afrig	Wàll:Melosuuf;Wàll:Afrig;Wàll:Diwaani Afrig;
Penku Afrig	Wàll:Diwaani Afrig;
Royuwaay:Gox	Wàll:Royuwaay séwógaraafi;
Gox	Wàll:Gox yi;
Afrig gu bëj-saalumu-Sahara	Wàll:Melosuuf;Wàll:Afrig;Wàll:Diwaani Afrig;
Sahel	Wàll:Diwaani Afrig;
Bejjenu Afrig	Wàll:Melosuuf;Wàll:Afrig;Wàll:Diwaani Afrig;
Maghreb	Wàll:Melosuuf;Wàll:Diwaani Afrig;
Isipt gu yàgg ga	Wàll:Isipt gu yàgg ga;Wàll:Taariixu Isipt;
Lislaam ci sowu Afrik	Wàll:Lislaam;
Imbraatóor gu Gana	Wàll:Taariixu Afrig;Wàll:Nguuri Afrig;
Imbraatóor gu Songaay	Wàll:Taariixu Afrig;Wàll:Nguuri Afrig;
Njàppum jaam	Wàll:Taariix|*;
Ñëwug waa-tugal ci Afrik	Wàll:Taariixu Afrig;Wàll:Melosuuf;
Sëriñ Tuubaa	Wàll:niti senegaal;Wàll:Yoonu murit;
Sudaan (diiwaan)	Wàll:Melosuuf;Wàll:Afrig;Wàll:Diwaani Afrig;
Melosuufug Tugal	Wàll:Tugal;Wàll:Melosuuf;
Royuwaay:Diwaani amerik	Wàll:Royuwaay séwógaraafi;
Diggu Aamerig	Wàll:Diwaani Aamerig;
Melosuufug Afrig	Wàll:Melosuufug afrig| ;
Afritugalasi	Wàll:Gox yi;
Tugalasi	Wàll:Gox yi;
Oseyaani	Wàll:Gox yi;
Royuwaay:Réewi oseyaani	Wàll:Royuwaay séwógaraafi mu réew;
Royuwaay:Réewi Bëj-saalumu Aamerik	Wàll:Royuwaay séwógaraafi mu réew;
Bëj-saalumu Aamerig	Wàll:Gox yi;Wàll:Aamerig;Wàll:Diwaani Aamerig;
Bëj-gànnaaru Aamerig	Wàll:Gox yi;Wàll:Aamerig;Wàll:Diwaani Aamerig;
Royuwaay:Réewi Bëj-gànnaaru Aamerik	Wàll:Royuwaay séwógaraafi mu réew;
Xaaju kol-kol	Wàll:Falag;
Royuwaay:Réewi afrig	Réew|*;
Diggu Asi	Wàll:Asi;
Diiwaan	Wàll:Diiwaan| ;
Penku Asi	Wàll:Asi;
Bëj-saalum-penku Asi	Wàll:Asi;
Ron-goxu End	Wàll:Asi;
Penku gu Sori	Wàll:Asi;
Penku gu Diggu	Wàll:Asi;
Penku gu Jege	Wàll:Asi;
Bëj-gànnaaru Tugal	Wàll:Melosuufug Tugal;
Penku Tugal	Wàll:Melosuufug Tugal;
Bëj-saalumu Tugal	Wàll:Melosuufug Tugal;
Ponki Lislaam	Wàll:Lislaam;
Koor	Wàll:Ponki Lislaam;Wàll:Lislaam;
Xam-xamu nosukaay	Wàll:Xam-xamu nosukaay;
Nosukaay	Wàll:Xam-xamu nosukaay;
Mbëjfeppal	Wàll:Mbëjfeppal;
Géej gu Diggu	Wàll:Géej;Wàll:Diiwaani Tugal;
Seere	Wàll:Lislaam;Wàll:Ponki Lislaam;
Gëm Yàlla	Wàll:Lislaam;
Gëm Malaaka yi	Wàll:Lislaam;
Gëm Téere yi	Wàll:Lislaam;
Gëm Yonnant yi	Wàll:Lislaam;
Gëm Bis Pénc	Wàll:Lislaam;
Gëm Dogal bi	Wàll:Lislaam;
Julli	Wàll:Lislaam;Wàll:Ponki Lislaam;
Laab	Wàll:Diine;Wàll:Lislaam;
Natt asaka	Wàll:Ponki Lislaam;Wàll:Lislaam;
Farata ak sunnaay asaka	Wàll:Ponki Lislaam;
Aj Màkka	Wàll:Lislaam;Wàll:Ponki Lislaam;
Faratay aj	Wàll:Ponki Lislaam;
Sunnaay aj	Wàll:Ponki Lislaam;
Xay	Wàll:Xay;
Sowwu Tugal	Wàll:Melosuufug Tugal;
Lonkoyoon	Wàll:Melosuuf;
Curitiba	Wàll:Dëkk;Wàll:Breesil;
Taariixu Senegaal	Wàll:Taariixu senegaal|*;
Alaaji Omar Fuutiyu TAAL	Wàll:niti senegaal;
Melaneesi	Wàll:Diwaani oseyaani;
Mikroneesi	Wàll:Diwaani oseyaani;
Polineesi	Wàll:Diwaani oseyaani;
Mbàmbulaan	Wàll:Mbàmbulaan yi| ;
Tus-wu-gaar	Wàll:Melosuuf;
Dottub Bëj-saalum	Wàll:Diiwaani dott;
Diiwaani dott	Wàll:diiwaani dott;
Fuuta Tooro	Wàll:nguuri senegaal;
Bawol	Wàll:nguuri senegaal;Wàll:Taariixu senegaal;Wàll:Cosaan Séeréer;
Kaw Gaambi ak Penku Senegaal	Wàll:nguuri senegaal;Wàll:Taariixu senegaal;
Kaasamaas	Wàll:Nguuri senegaal;Wàll:Taariixu senegaal;
Nguuri Pël yi	Wàll:nguuri senegaal;
Lat Joor	Wàll:niti senegaal;
Alaaji Omar Taal	Wàll: niti senegaal;
Muhammad Lamin Daraame	Wàll:niti senegaal;
Saamóori Ture	Wàll:Niti senegaal;
Seydinaa Limaamu Laay	Wàll:niti senegaal;
Aliin Situwe Jaata	Wàll:niti senegaal;
Ndajem Berlin	Wàll:cancug afrik;
Ñaareelu Xareb Àdduna	Wàll:Xarey àdduna;
Lenn ci taariix	Wàll yi xam-xam jëme kanam ci Tugal;Wàll:Taariix;
Wuññi yu melosuuf yi	Wàll:Melosuuf;
Yëngu-yëngu yi jugoon di safaan Jàngu bu Paab bi	Wàll:taariix;
Jëm kanam gu xam-xam	Wàll:xam-xam;Wàll:Endustri;
Yewwute gu ndefar	Wàll:Endustri;
Taariixu Aamerig	Wàll:Politig;Wàll:Taariixu Aamerig;
Jeqiku ga amoon ca Faraas	Wàll:Taariixu Tugal;
Taariixu Itaali	Wàll:Taariix;Wàll:Itaali;
Sancug waa Tugal ci Afrig	Wàll:Koom-koom;
Mbootaay yu àdduna yi	Wàll:Adduna;
Ni Sapoŋ jëme kanam	Wàll:Sapoŋ;
Royuwaay:Nataalu ayubés bi	Wàll:Xët wu njëkk|N;
Léebu	Wàll:Làkk;
Arminaat	Wàll:Arminaat| ;
Saytubiddiw	Wàll:Saytubiddiw| ;
Gëstubiddiw	Wàll:Gëstubiddiw;
Koom-koomu Afrig	Wàll:Koom-koomu Afrig;
Melosuufug Afrig gu Bëj-saalum	Wàll:Melosuufug Afrig gu Bëj-saalum;Wàll:Melosuufug afrig;
Melosuufug Alseeri	Wàll:Melosuufug afrig;Wàll:Melosuufug Alseeri;
Seex Anta Jóob	Wàll:niti senegaal;
Mbàmbulaan gu Bëj-saalum	Wàll:Mbàmbulaan yi;
Mbàmbulaan gu Bëj-gànnaar	Wàll:Mbàmbulaan yi;
Dottub Bëj-gànnaar	Wàll:Diiwaani dott;
Końskowola	Wàll:Poloñ;
Kureelu Mbootayu Xeet yi	Wàll:Kureelu Mbootayu Xeet yi;Wàll:Adduna;
Mbootaayu Réewi Jullit yi	Wàll:Lislaam;
Way dëkki Afrig	Wàll:Afrig;
Leopool Sedaar Sengoor	Wàll:niti senegaal;Wàll:njiiti Senegaal;
Xamale kuy Sëriñ bi, ak ay mbiram, ba bi waajuram wu góor làqoo	Wàll:Dundug Seex Ahmadu Bamba;
Ginaaw saayug waajur wi	Wàll:Dundug Seex Ahmadu Bamba;
SancamJolof Ak li ko waraloon	Wàll:Dundug Seex Ahmadu Bamba;
Tukkib géej gi	Wàll:Dundug Seex Ahmadu Bamba;
Dugg ci gaal gi juge Ndakaaru	Wàll:Dundug Seex Ahmadu Bamba;
Dellusi gi juge ca géej ga	Wàll:Dundug Seex Ahmadu Bamba;
Ñaareelu tukki bi (bu Gànnaar bi)	Wàll:Dundug Seex Ahmadu Bamba;
Ñibbisi gi jugge Gànnaar	Wàll:Dundug Seex Ahmadu Bamba;
Ag génnam juge Jolof jëm Njaaréem	Wàll:dundug Seex Ahmadu Bamba;
Tëjte	Wàll:Dundug Seex Ahmadu Bamba;
Seere yi ko mag ñi seereel ag màgg akug wilaaya	Wàll:Dundug Seex Ahmadu Bamba;
Suuf	Wàll:Suuf| ;
Niiruw jant	Wàll:saytubiddiw;
Nosteg jant	Wàll:Saytubiddiw;
Jant	Wàll:Saytubiddiw;
Melosuufug Angolaa	Wàll:Melosuufug afrig|Angolaa;Wàll:Angolaa;
Yoonal	Wàll:Yoon;
Wéyal	Wàll:Yoon;
Dalub web	Wàll:Xam-xamu nosukaay;
Almazán	Wàll:Ispaañ;
Xëtu web	Wàll:Xam-xamu nosukaay;
Breinigerberg	Wàll:Almaañ;
Internet	Wàll:Xam-xamu nosukaay;
Lëkkalekaay	Wàll:Xam-xamu nosukaay;
Njàngale	Wàll:Njàngale;
Yamoo	Wàll:Melosuuf;
Màkkaanum mbëjfeppal	Wàll:Xam-xamu nosukaay;
Melosuufug Senegaal	Wàll:melosuufug Senegaal;
Weer	Wàll:Arminaat;Wàll:Jamono;
Royuwaay:Arminaat	Wàll:Royuwaay;
Bés	Wàll:Bés| ;Wàll:Jamono;
Royuwaay:En	Wàll:Royuwaay;
Royuwaay:Fr	Wàll:Royuwaay;
Pullaar	Wàll:Làkki senegaal;
Fatik	Wàll:réewi-taaxi Senegaal;
Kawlak	Wàll:réewi-taaxi Senegaal;
Amsterdam	Wàll:Olaand;Wàll:Péy;
Royuwaay:Téereb Injiil	Wàll:Royuwaay diine;
Diiwaanu Ndakaaru	Wàll:diiwaani Senegaal;
Diiwaanu Njaaréem	Wàll:diiwaani Senegaal;
Diiwaanu Fatik	Wàll:diiwaani Senegaal;
Fodé Camara	Wàll:Cuub;
Uetersen	Wàll:Almaañ;
Kureelu tembte bu Poortorikoo	Wàll:Poortorikoo;
Diiwaanu Kawlax	Wàll:diiwaani Senegaal;
Diiwaanu Koldaa	Wàll:diiwaani Senegaal;
Diiwaanu Cees	Wàll:diiwaani Senegaal;
Diiwaanu Ndar	Wàll:Diiwaani Senegaal;
Diiwaanu Luga	Wàll:diiwaani Senegaal;
Diiwaanu Siggcoor	Wàll:diiwaani Senegaal;
Diiwaanu Maatam	Wàll:diiwaani Senegaal;
Diiwaanu Tambaakundaa	Wàll:Diiwaani Senegaal;
Dexub Senegaal	Wàll:Wali ndox yu Senegaal;
Wu-angalteer	Wàll:Làkk;Wàll:Nguur-Yu-Bennoo;
Gëwéel	Wàll:Gëwéel;
Royuwaay:Infobox Dëkk	Wàll:Infobox|Dëkk;
Royuwaay:SEN	Wàll:Royuwaay raaya réew|{{PAGENAME}};Wàll:Senegaal| ;
Royuwaay:IRL	Wàll:Royuwaay raaya réew|{{PAGENAME}};Wàll:Irlaand| ;
Royuwaay:Boyutu jëfëndikookat	:Wàll:{{{wàll}}}|∇;Wàll:{{{wàll}}}|{{PAGENAME}};Wàll:{{{wàll2}}}|{{PAGENAME}};Wàll:Boyutu jëfëndikookat|*;
Royuwaay:Boyutu Babel	Wàll:Boyutu Babel|*;
Royuwaay:Boyutu Babel 1	Wàll:Jëfandikukat {{{làkk}}}-1|{{PAGENAME}};Wàll:Boyutu Babel 1|* Boyutu Babel 1;
Royuwaay:Boyutu Babel 2	Wàll:Jëfandikukat {{{làkk}}}-2|{{PAGENAME}};Wàll:Boyutu Babel 2|* Boyutu Babel 2;
Royuwaay:Boyutu Babel 3	Wàll:Jëfandikukat {{{làkk}}}-3|{{PAGENAME}};Wàll:Boyutu Babel 3|* Boyutu Babel 3;
Royuwaay:Boyutu Babel 4	Wàll:Jëfandikukat {{{làkk}}}-4|{{PAGENAME}};Wàll:Boyutu Babel 4|* Boyutu Babel 4;
Royuwaay:Boyutu Babel 5	Wàll:Jëfandikukat {{{làkk}}}-5|{{PAGENAME}};Wàll:Boyutu Babel 5|* Boyutu Babel 5;
Royuwaay:Boyutu Babel N	Wàll:Jëfandikukat {{{làkk}}}-N|{{PAGENAME}};Wàll:Boyutu Babel N|* Boyutu Babel N;
Royuwaay:Boyutu Babel 0	Wàll:Jëfandikukat {{{làkk}}}-0|{{PAGENAME}};Wàll:Boyutu Babel 0|* Boyutu Babel 0;
Royuwaay:Jëfandikukat fr	:Wàll:Jëfandikukat fr-N|langue maternelle;:Wàll:Jëfandikukat fr|français;Wàll:Boyutu Babel N|fr;Wàll:Jëfandikukat fr|N;
Royuwaay:Jëfandikukat en-3	:Wàll:Jëfandikukat en-3|advanced;:Wàll:Jëfandikukat en|English;Wàll:Boyutu Babel 3|en;Wàll:Jëfandikukat en|3;
Madrid	Wàll:Ispaañ;Wàll:Péy;
Zurich	Wàll:Suwis;Wàll:Dëkk;
Rom	Wàll:Itaali;Wàll:Péy;
Yàlla	Wàll:Diine;
Tus	Wàll:Xayma;
Benn	Wàll:Xayma;
Minsk	Wàll:Belaarus;Wàll:Péy;
Sofiya	Wàll:Bulgaari;Wàll:Péy;
Prag	Wàll:Réewum Cek;Wàll:Péy;
Budapest	Wàll:Oonguri;Wàll:Péy;
Kisinawu	Wàll:Péy;Wàll:Moldaawi;
Warsaw	Wàll:Poloñ;Wàll:Péy;
Bukarest	Wàll:Romaani;Wàll:Péy;
Mosku	Wàll:Riisi;Wàll:Péy;
Baratislawa	Wàll:Eslowaaki;Wàll:Péy;
Kopenagen	Wàll:Danmaark;Wàll:Péy;
Talin	Wàll:Estooni;Wàll:Péy;
Elsinki	Wàll:Finlaand;Wàll:Péy;
Reykjawik	Wàll:Islaand;Wàll:Péy;
Dublin	Wàll:Irlaand;Wàll:Péy;
Riga	Wàll:Letóoni;Wàll:Péy;
Wilniyus	Wàll:Lituwaani;Wàll:Péy;
Oslo	Wàll:Noorwees;Wàll:Péy;
Stokolm	Wàll:Suweed;Wàll:Péy;
Londar	Wàll:Nguur-Yu-Bennoo;Wàll:Péy;
Tirana	Wàll:Albaani;Wàll:Péy;
Andorra la Vella	Wàll:Andoor;Wàll:Péy;
Saarayego	Wàll:Bosni;Wàll:Péy;
Sagreb	Wàll:Korwaasi;Wàll:Péy;
Skopje	Wàll:Réewum Maseduwaan;Wàll:Péy;
Waleta	Wàll:Malt;Wàll:Péy;
Montenegro	Wàll:Tugal;Wàll:Réew;Wàll:Montenegro;
Melo	Wàll:Melo| ;
Royuwaay:Bot	Wàll:Global bot;Wàll:Local bot;Wàll:Inactif bot;Wàll:Bot Wikipedia;:Wàll:Global bot;:Wàll:Local bot;:Wàll:Inactif bot;:Wàll:Bot Wikipedia;
Xonq	Wàll:Melo;
Mboq	Wàll:Melo;
Wert	Wàll:Melo;
Baxa	Wàll:Melo;
Daaray Sëriñ Tuubaa	Wàll:Yoonu murit;
Podgorika	Wàll:Montenegro;Wàll:Péy;
Lisbon	Wàll:Portugaal;Wàll:Péy;
San Marino (péy)	Wàll:san Marino;Wàll:Péy;
Belgrad	Wàll:Seerbi;Wàll:Péy;
Jubaljana	Wàll:Esloweeni;Wàll:Péy;
Watikaa (péy)	Wàll:Watikaa;Wàll:Péy;
Wiyen	Wàll:Ótiris;Wàll:Péy;
Burusel	Wàll:Beljik;Wàll:Péy;
Wadus	Wàll:Liechtenstein;Wàll:Péy;
Luksambuur (péy)	Wàll:Luksambuur;Wàll:Péy;
Monaako (péy)	Wàll:Péy;Wàll:Monaako;
Bern	Wàll:Suwis;Wàll:Péy;
Astana	Wàll:Kasakistaan;Wàll:Péy;
Baku	Wàll:Aserbayjaan;Wàll:Péy;
Tibilisi	Wàll:Jeoorji;Wàll:Péy;
Ankara	Wàll:Tirki;Wàll:Péy;
Linux	Wàll:Xam-xamu nosukaay;
Ubbite	Wàll:Mamoor Xam Sa Diine;
Arafu A	Wàll:Mamoor Xam Sa Diine;
Arafu B	Wàll:Mamoor Xam Sa Diine;
Arafu J	Wàll:Mamoor Xam Sa Diine;
Arafu D	Wàll:Mamoor Xam Sa Diine;
Arafu W	Wàll:Mamoor Xam Sa Diine;
Arafu y	Wàll:Mamoor Xam Sa Diine;
Arafu M	Wàll:Mamoor Xam Sa Diine;
Arafu N	Wàll:Mamoor Xam Sa Diine;
Arafu F	Wàll:Mamoor Xam Sa Diine;
Arafu X Q	Wàll:Mamoor Xam Sa Diine;
Arafu R	Wàll:Mamoor Xam Sa Diine;
Arafu S	Wàll:Mamoor Xam Sa Diine;
Arafu T	Wàll:Mamoor Xam Sa Diine;
Ag Mottali	Wàll:Mamoor Xam Sa Diine;
Football	Wàll:Football;
Lu am ag séqoo ak njàppum jaam	Wàll:Taariix|*;
Gordon Brown	Wàll:Nguur-Yu-Bennoo;
Manchester United	Wàll:Nguur-Yu-Bennoo;Wàll:Football;
Premier League	Wàll:Football;Wàll:Angale;
Alex Ferguson	Wàll:Football;
MediaWiki:Edittools	Wàll:+;
Asamaan	Wàll:Suuf;Wàll:Saytubiddiw;
Ndox	Wàll:Ndox;
Safara	Wàll:Safara;
Gόor	Wàll:Gόor;
Jigéen	Wàll:Jigéen;
Wu-faraas	Wàll:Faraas;Wàll:Làkk;
Mburu	Wàll:Mburu;
Guddi	Wàll:Suuf;Wàll:Bés;
Sëriñ Saaliwu Mbàkke	Wàll:yoonu murit;Wàll:niti senegaal;
MediaWiki:Gadget-HotCats.js	Wàll:" + hnc + "$2;Wàll:" + hrc + ";Wàll:" + hnc + ";Wàll:" + hrc + ";Wàll:" + hnc + ";Wàll:" + hnc + ";
MediaWiki:Gadget-DeluxeHistory.js	Wàll:MediaWiki:Fonction Monobook en JavaScript;
Sëriñ Mbay JAXATE	Wàll:Niti senegaal;Wàll:Yoonu murit;
Dun	Wàll:Dun| ;
Ayubés	Wàll:Arminaat;
Dibéer	Wàll:Arminaat;
Altine	Wàll:Arminaat;
Talaata	Wàll:Arminaat;
Àllarba	Wàll:Arminaat;
Alxames	Wàll:Arminaat;
Àjjuma	Wàll:Arminaat;
Gaawu	Wàll:Arminaat;
Ñaar	Wàll:Xayma;
Ñatt	Wàll:Xayma;
Juroom	Wàll:Xayma;
Juróom benn	Wàll:Xayma;
Juróom ñaar	Wàll:Xayma;
Juróom ñett	Wàll:Xayma;
Juróom ñent	Wàll:Xayma;
Fukk	Wàll:Xayma;
Fajar	Wàll:Bés;
Njël	Wàll:Bés;
Diiwaanu Kafrin	Wàll:Diiwaani Senegaal;
Diiwaanu Kéedugu	Wàll:Diiwaani Senegaal;
Diiwaanu Séeju	Wàll:Diiwaani Senegaal;
Xavier Rovira Rojas	Wàll:Sport;
Ngéej	Wàll:Melosuuf;Wàll:Ndox;
Xaj	Wàll:Rab;
Muus	Wàll:Rab;
Jasaan	Wàll:Jén;
Piipa	Wàll:Rab;
Garab	Wàll:Xam-xam;
Mori	Wàll:Jén;
Ndiané	Wàll:Jén;
Bëer	Wàll:Jén;
Khal	Wàll:Jén;
Fötö	Wàll:Jén;
Fëtt	Wàll:Jén;
Royuwaay:Bokktekki	Wàll:Bokktekki;Wàll:Royuwaay|Bokktekki;
Thiékem	Wàll:Jén;
Djabar	Wàll:Jén;
Njagatun	Wàll:Jén;
Rap	Wàll:Hip Hop;
Hip-hop	Wàll:Hip Hop;
Break dancing	Wàll:Hip Hop;
Melosuufug Bene	Wàll:bene;Wàll:melosuufug afrig;
Nahju	Wàll:Yoonu murit;
Melosuufug Botswana	Wàll:botswana;Wàll:melosuufug afrig;
Waxi Seex Anta Jóob	Wàll:Kàllaama;
Royuwaay:Tëralin	Wàll:Royuwaay;
Banda	Wàll:Jén;
Wersun	Wàll:Jén;
Melosuufug Burkinaa Faaso	Wàll:Burkinaa Faaso;
Melosuufug Buruundi	Wàll:Buruundi;
Melosuufug Kamerun	Wàll:melosuufug Kamerun|melosuufug Kamerun;
Ngaté yénnö	Wàll:Jén;
Ngaté bu digen	Wàll:Jén;
Buum	Wàll:baati wolof;
Ceññeer-mbej	Wàll:baati wolof;Wàll:Jëmm;Wàll:Kàttan;
Ngiste	Wàll:Baati wolof;
Mbëjbijjaakon	Wàll:mbëjbijjaakon;
Goxub Dottub Bëj-saalum	Wàll:Gox yi;Wàll:Diiwaani dott;
Xarey jóoñe	Wàll:Politig;Wàll:Baati wolof;Wàll:Taariixu Tugal;Wàll:Taariixu Asi;
Royuwaay:Jëfandikukat eu	:Jëfandikukat eu-N|euskaldun zahar;:Jëfandikukat eu|euskara;
Royuwaay:Jëfandikukat ca-4	:Jëfandikukat ca-4|parlant natiu;:Jëfandikukat ca|català;
Royuwaay:Jëfandikukat cs	:Wàll:Jëfandikukat cs|čeština;:Wàll:Jëfandikukat cs-N|mateřským jazykem;Wàll:Boyutu Babel N|cs;Wàll:Jëfandikukat cs|N;
Royuwaay:Jëfandikukat hu	:Jëfandikukat hu|magyar;:Jëfandikukat hu-N|anyanyelve;
Royuwaay:Jëfandikukat is-1	:Jëfandikukat is-1|grundvallarkunnáttu;:Jëfandikukat is|íslensku;
Royuwaay:Jëfandikukat fi	:Jëfandikukat fi|suomea;:Jëfandikukat fi-N|äidinkielenään;
